zcta,state,synth_avg_size,real_avg_size,synth_avg_adults,synth_avg_kids,synth_total_pop,synth_total_pop_from_house,real_total_pop
35630,AL,3.625776905462872,2.18,2.824010467778868,0.8017664376840039,33252,33252,33252
35674,AL,4.448503521126761,2.62,3.2746478873239435,1.173855633802817,20214,20214,20214
99835,AK,3.6817588158467567,2.36,2.854157596865477,0.8276012189812799,8457,8457,8457
99773,AK,10.608695652173912,5.3,6.304347826086956,4.304347826086956,244,244,244
85297,AZ,5.700099966677774,3.26,3.661112962345885,2.038987004331889,34212,34212,34212
86556,AZ,9.033742331288343,4.13,5.2607361963190185,3.773006134969325,2945,2945,2945
72392,AR,5.064814814814815,3.46,3.5925925925925926,1.4722222222222223,547,547,547
72471,AR,5.763888888888889,3.13,3.8564814814814814,1.9074074074074074,1245,1245,1245
95624,CA,5.900008687342542,3.29,4.212926765702371,1.6870819216401702,67915,67915,67915
91711,CA,4.393960674157303,2.56,3.3222144194756553,1.0717462546816479,37542,37542,37542
80860,CO,2.641025641025641,1.78,2.4,0.24102564102564103,515,515,515
80481,CO,3.773049645390071,2.49,3.482269503546099,0.2907801418439716,532,532,532
06615,CT,3.609149455918277,2.42,2.8345547412835885,0.774594714634688,16252,16252,16252
06279,CT,3.6202203499675956,2.09,3.0110174983797795,0.609202851587816,5586,5586,5586
19805,DE,3.8285327662864876,2.45,2.7968296926348346,1.0317030736516528,39610,39610,39610
19706,DE,4.428571428571429,2.76,3.2254464285714284,1.203125,1984,1984,1984
20009,DC,2.632800628766047,1.74,2.340791197275347,0.2920094314906995,50247,50247,50247
32147,FL,3.7552631578947366,2.08,2.95,0.8052631578947368,1427,1427,1427
32180,FL,6.321112515802781,3.65,4.127686472819216,2.1934260429835652,5000,5000,5000
30044,GA,5.511209033324153,3.28,3.7221702010465436,1.7890388322776094,100056,100056,100056
31014,GA,4.452534875808098,2.69,3.3290234773732563,1.1235113984348417,13086,13086,13086
96813,HI,3.5891869469026547,2.15,3.011891592920354,0.5772953539823009,25957,25957,25957
96728,HI,4.257731958762887,2.5,3.195876288659794,1.0618556701030928,413,413,413
83611,ID,4.538805970149253,2.9,3.828358208955224,0.7104477611940299,3041,3041,3041
83821,ID,3.6,2.13,3.2,0.4,216,216,216
60433,IL,4.522488317757009,2.82,3.2765771028037385,1.245911214953271,15485,15485,15485
62899,IL,4.696629213483146,2.87,3.2387640449438204,1.4578651685393258,1672,1672,1672
46181,IN,4.581272084805653,2.69,3.26678445229682,1.314487632508834,5186,5186,5186
47385,IN,4.517412935323383,2.56,3.298507462686567,1.2189054726368158,1816,1816,1816
51031,IA,3.8375990249847654,2.42,2.784582571602681,1.053016453382084,12595,12595,12595
50603,IA,3.842696629213483,2.12,3.1235955056179776,0.7191011235955056,342,342,342
67045,KS,3.800747198007472,2.38,2.816936488169365,0.9838107098381071,3052,3052,3052
67867,KS,4.576368876080692,2.74,3.2564841498559076,1.319884726224784,1588,1588,1588
40806,KY,3.6491228070175437,2.2,2.9210526315789473,0.7280701754385965,1664,1664,1664
40472,KY,3.6359102244389025,2.33,3.0149625935162097,0.6209476309226932,1458,1458,1458
70747,LA,3.7611940298507465,2.08,2.8656716417910446,0.8955223880597015,252,252,252
71018,LA,4.788235294117647,2.74,3.2588235294117647,1.5294117647058822,1221,1221,1221
04986,ME,6.0,3.31,3.7329974811083124,2.2670025188916876,2382,2382,2382
