area,gender,age,count,region
AK0001,male,U5,24360,AK
AK0001,male,5t9,25263,AK
AK0001,male,10t14,26115,AK
AK0001,male,15t17,15969,AK
AK0001,male,18t19,9221,AK
AK0001,male,20t21,11950,AK
AK0001,male,22t24,16458,AK
AK0001,male,25t29,29917,AK
AK0001,male,30t34,28745,AK
AK0001,male,35t39,31003,AK
AK0001,male,40t44,27244,AK
AK0001,male,45t49,22807,AK
AK0001,male,50t54,21297,AK
AK0001,male,55t59,20716,AK
AK0001,male,60t61,10356,AK
AK0001,male,62t64,13701,AK
AK0001,male,65t66,7453,AK
AK0001,male,67t69,11435,AK
AK0001,male,70t74,15124,AK
AK0001,male,75t79,9517,AK
AK0001,male,80t84,4432,AK
AK0001,male,85plus,2772,AK
AK0001,female,U5,20851,AK
AK0001,female,5t9,23500,AK
AK0001,female,10t14,25811,AK
AK0001,female,15t17,12497,AK
AK0001,female,18t19,6193,AK
AK0001,female,20t21,7942,AK
AK0001,female,22t24,13384,AK
AK0001,female,25t29,25410,AK
AK0001,female,30t34,27778,AK
AK0001,female,35t39,26889,AK
AK0001,female,40t44,24995,AK
AK0001,female,45t49,19068,AK
AK0001,female,50t54,19010,AK
AK0001,female,55t59,19255,AK
AK0001,female,60t61,9684,AK
AK0001,female,62t64,13019,AK
AK0001,female,65t66,7794,AK
AK0001,female,67t69,10017,AK
AK0001,female,70t74,14815,AK
AK0001,female,75t79,10695,AK
AK0001,female,80t84,4479,AK
AK0001,female,85plus,4465,AK
