area,gender,age,count,region
AL0001,male,U5,143309,AL
AL0001,male,5t9,154161,AL
AL0001,male,10t14,169656,AL
AL0001,male,15t17,104280,AL
AL0001,male,18t19,73719,AL
AL0001,male,20t21,66568,AL
AL0001,male,22t24,100629,AL
AL0001,male,25t29,154817,AL
AL0001,male,30t34,158870,AL
AL0001,male,35t39,158197,AL
AL0001,male,40t44,160149,AL
AL0001,male,45t49,143378,AL
AL0001,male,50t54,157994,AL
AL0001,male,55t59,151557,AL
AL0001,male,60t61,64224,AL
AL0001,male,62t64,97603,AL
AL0001,male,65t66,59839,AL
AL0001,male,67t69,83763,AL
AL0001,male,70t74,113296,AL
AL0001,male,75t79,79838,AL
AL0001,male,80t84,43919,AL
AL0001,male,85plus,32035,AL
AL0001,female,U5,144710,AL
AL0001,female,5t9,151570,AL
AL0001,female,10t14,161606,AL
AL0001,female,15t17,100354,AL
AL0001,female,18t19,72341,AL
AL0001,female,20t21,70139,AL
AL0001,female,22t24,96459,AL
AL0001,female,25t29,159066,AL
AL0001,female,30t34,171764,AL
AL0001,female,35t39,162742,AL
AL0001,female,40t44,168164,AL
AL0001,female,45t49,156642,AL
AL0001,female,50t54,162064,AL
AL0001,female,55t59,157338,AL
AL0001,female,60t61,69939,AL
AL0001,female,62t64,112340,AL
AL0001,female,65t66,69628,AL
AL0001,female,67t69,95648,AL
AL0001,female,70t74,131834,AL
AL0001,female,75t79,102668,AL
AL0001,female,80t84,62774,AL
AL0001,female,85plus,56877,AL
