area,gender,age,count,region
AR0001,male,U5,89183,AR
AR0001,male,5t9,98454,AR
AR0001,male,10t14,105233,AR
AR0001,male,15t17,68154,AR
AR0001,male,18t19,41780,AR
AR0001,male,20t21,41887,AR
AR0001,male,22t24,62243,AR
AR0001,male,25t29,97089,AR
AR0001,male,30t34,101299,AR
AR0001,male,35t39,96521,AR
AR0001,male,40t44,102009,AR
AR0001,male,45t49,88114,AR
AR0001,male,50t54,89836,AR
AR0001,male,55t59,86852,AR
AR0001,male,60t61,36759,AR
AR0001,male,62t64,60100,AR
AR0001,male,65t66,36605,AR
AR0001,male,67t69,48445,AR
AR0001,male,70t74,64106,AR
AR0001,male,75t79,49829,AR
AR0001,male,80t84,26976,AR
AR0001,male,85plus,20727,AR
AR0001,female,U5,87725,AR
AR0001,female,5t9,98065,AR
AR0001,female,10t14,92539,AR
AR0001,female,15t17,61635,AR
AR0001,female,18t19,42995,AR
AR0001,female,20t21,38322,AR
AR0001,female,22t24,61263,AR
AR0001,female,25t29,94111,AR
AR0001,female,30t34,100695,AR
AR0001,female,35t39,97578,AR
AR0001,female,40t44,103071,AR
AR0001,female,45t49,90067,AR
AR0001,female,50t54,91333,AR
AR0001,female,55t59,88683,AR
AR0001,female,60t61,39705,AR
AR0001,female,62t64,63526,AR
AR0001,female,65t66,41001,AR
AR0001,female,67t69,53573,AR
AR0001,female,70t74,77500,AR
AR0001,female,75t79,57727,AR
AR0001,female,80t84,40261,AR
AR0001,female,85plus,34156,AR
