area,gender,age,count,region
AZ0001,male,U5,198924,AZ
AZ0001,male,5t9,225378,AZ
AZ0001,male,10t14,230042,AZ
AZ0001,male,15t17,154626,AZ
AZ0001,male,18t19,103737,AZ
AZ0001,male,20t21,103115,AZ
AZ0001,male,22t24,155103,AZ
AZ0001,male,25t29,261367,AZ
AZ0001,male,30t34,271047,AZ
AZ0001,male,35t39,245022,AZ
AZ0001,male,40t44,236596,AZ
AZ0001,male,45t49,212790,AZ
AZ0001,male,50t54,218268,AZ
AZ0001,male,55t59,200473,AZ
AZ0001,male,60t61,94508,AZ
AZ0001,male,62t64,133900,AZ
AZ0001,male,65t66,85677,AZ
AZ0001,male,67t69,115804,AZ
AZ0001,male,70t74,175346,AZ
AZ0001,male,75t79,149214,AZ
AZ0001,male,80t84,83251,AZ
AZ0001,male,85plus,54484,AZ
AZ0001,female,U5,192218,AZ
AZ0001,female,5t9,210345,AZ
AZ0001,female,10t14,224464,AZ
AZ0001,female,15t17,144082,AZ
AZ0001,female,18t19,98677,AZ
AZ0001,female,20t21,95137,AZ
AZ0001,female,22t24,145242,AZ
AZ0001,female,25t29,244916,AZ
AZ0001,female,30t34,249658,AZ
AZ0001,female,35t39,230080,AZ
AZ0001,female,40t44,230630,AZ
AZ0001,female,45t49,211670,AZ
AZ0001,female,50t54,220137,AZ
AZ0001,female,55t59,212038,AZ
AZ0001,female,60t61,97946,AZ
AZ0001,female,62t64,141477,AZ
AZ0001,female,65t66,89993,AZ
AZ0001,female,67t69,132285,AZ
AZ0001,female,70t74,209127,AZ
AZ0001,female,75t79,156030,AZ
AZ0001,female,80t84,101906,AZ
AZ0001,female,85plus,84614,AZ
