area,gender,age,count,region
CA0001,male,U5,1067828,CA
CA0001,male,5t9,1145798,CA
CA0001,male,10t14,1303431,CA
CA0001,male,15t17,805370,CA
CA0001,male,18t19,533353,CA
CA0001,male,20t21,513164,CA
CA0001,male,22t24,778168,CA
CA0001,male,25t29,1370703,CA
CA0001,male,30t34,1527270,CA
CA0001,male,35t39,1461909,CA
CA0001,male,40t44,1336964,CA
CA0001,male,45t49,1208914,CA
CA0001,male,50t54,1224771,CA
CA0001,male,55t59,1171730,CA
CA0001,male,60t61,479029,CA
CA0001,male,62t64,668651,CA
CA0001,male,65t66,417401,CA
CA0001,male,67t69,554684,CA
CA0001,male,70t74,754403,CA
CA0001,male,75t79,534707,CA
CA0001,male,80t84,322770,CA
CA0001,male,85plus,269680,CA
CA0001,female,U5,1018992,CA
CA0001,female,5t9,1097397,CA
CA0001,female,10t14,1231858,CA
CA0001,female,15t17,766655,CA
CA0001,female,18t19,509562,CA
CA0001,female,20t21,487831,CA
CA0001,female,22t24,736137,CA
CA0001,female,25t29,1321304,CA
CA0001,female,30t34,1451352,CA
CA0001,female,35t39,1361130,CA
CA0001,female,40t44,1300307,CA
CA0001,female,45t49,1190835,CA
CA0001,female,50t54,1221482,CA
CA0001,female,55t59,1169632,CA
CA0001,female,60t61,494002,CA
CA0001,female,62t64,697745,CA
CA0001,female,65t66,445584,CA
CA0001,female,67t69,615457,CA
CA0001,female,70t74,874824,CA
CA0001,female,75t79,651047,CA
CA0001,female,80t84,426537,CA
CA0001,female,85plus,444825,CA
