area,gender,age,count,region
CO0001,male,U5,159079,CO
CO0001,male,5t9,159040,CO
CO0001,male,10t14,187648,CO
CO0001,male,15t17,118405,CO
CO0001,male,18t19,77842,CO
CO0001,male,20t21,77820,CO
CO0001,male,22t24,122537,CO
CO0001,male,25t29,233307,CO
CO0001,male,30t34,249411,CO
CO0001,male,35t39,244197,CO
CO0001,male,40t44,213510,CO
CO0001,male,45t49,181877,CO
CO0001,male,50t54,184181,CO
CO0001,male,55t59,158807,CO
CO0001,male,60t61,66229,CO
CO0001,male,62t64,108431,CO
CO0001,male,65t66,62341,CO
CO0001,male,67t69,89853,CO
CO0001,male,70t74,125724,CO
CO0001,male,75t79,84256,CO
CO0001,male,80t84,42129,CO
CO0001,male,85plus,33484,CO
CO0001,female,U5,144696,CO
CO0001,female,5t9,156988,CO
CO0001,female,10t14,177203,CO
CO0001,female,15t17,107621,CO
CO0001,female,18t19,74619,CO
CO0001,female,20t21,62841,CO
CO0001,female,22t24,116148,CO
CO0001,female,25t29,215357,CO
CO0001,female,30t34,229928,CO
CO0001,female,35t39,213038,CO
CO0001,female,40t44,203866,CO
CO0001,female,45t49,174680,CO
CO0001,female,50t54,172734,CO
CO0001,female,55t59,158363,CO
CO0001,female,60t61,71017,CO
CO0001,female,62t64,111648,CO
CO0001,female,65t66,67125,CO
CO0001,female,67t69,97350,CO
CO0001,female,70t74,136753,CO
CO0001,female,75t79,96543,CO
CO0001,female,80t84,56677,CO
CO0001,female,85plus,52307,CO
