area,gender,age,count,region
CT0001,male,U5,92614,CT
CT0001,male,5t9,100980,CT
CT0001,male,10t14,104705,CT
CT0001,male,15t17,71866,CT
CT0001,male,18t19,52008,CT
CT0001,male,20t21,48386,CT
CT0001,male,22t24,72137,CT
CT0001,male,25t29,110526,CT
CT0001,male,30t34,116498,CT
CT0001,male,35t39,117836,CT
CT0001,male,40t44,115842,CT
CT0001,male,45t49,101937,CT
CT0001,male,50t54,114032,CT
CT0001,male,55t59,117591,CT
CT0001,male,60t61,51713,CT
CT0001,male,62t64,77931,CT
CT0001,male,65t66,45508,CT
CT0001,male,67t69,59069,CT
CT0001,male,70t74,80856,CT
CT0001,male,75t79,57505,CT
CT0001,male,80t84,36926,CT
CT0001,male,85plus,29252,CT
CT0001,female,U5,87947,CT
CT0001,female,5t9,95199,CT
CT0001,female,10t14,102561,CT
CT0001,female,15t17,66752,CT
CT0001,female,18t19,50405,CT
CT0001,female,20t21,43371,CT
CT0001,female,22t24,68323,CT
CT0001,female,25t29,109361,CT
CT0001,female,30t34,114082,CT
CT0001,female,35t39,113099,CT
CT0001,female,40t44,122637,CT
CT0001,female,45t49,106872,CT
CT0001,female,50t54,118798,CT
CT0001,female,55t59,125354,CT
CT0001,female,60t61,54830,CT
CT0001,female,62t64,80952,CT
CT0001,female,65t66,47790,CT
CT0001,female,67t69,66673,CT
CT0001,female,70t74,95027,CT
CT0001,female,75t79,73318,CT
CT0001,female,80t84,46504,CT
CT0001,female,85plus,51603,CT
