area,gender,age,count,region
DC0001,male,U5,19516,DC
DC0001,male,5t9,15770,DC
DC0001,male,10t14,19973,DC
DC0001,male,15t17,8802,DC
DC0001,male,18t19,7723,DC
DC0001,male,20t21,8076,DC
DC0001,male,22t24,14638,DC
DC0001,male,25t29,30928,DC
DC0001,male,30t34,36207,DC
DC0001,male,35t39,30331,DC
DC0001,male,40t44,25634,DC
DC0001,male,45t49,18283,DC
DC0001,male,50t54,17577,DC
DC0001,male,55t59,15830,DC
DC0001,male,60t61,7284,DC
DC0001,male,62t64,7744,DC
DC0001,male,65t66,4945,DC
DC0001,male,67t69,7149,DC
DC0001,male,70t74,10548,DC
DC0001,male,75t79,7519,DC
DC0001,male,80t84,4180,DC
DC0001,male,85plus,2933,DC
DC0001,female,U5,18996,DC
DC0001,female,5t9,20618,DC
DC0001,female,10t14,14140,DC
DC0001,female,15t17,8711,DC
DC0001,female,18t19,10876,DC
DC0001,female,20t21,8784,DC
DC0001,female,22t24,19430,DC
DC0001,female,25t29,38844,DC
DC0001,female,30t34,38731,DC
DC0001,female,35t39,33572,DC
DC0001,female,40t44,24567,DC
DC0001,female,45t49,18953,DC
DC0001,female,50t54,17056,DC
DC0001,female,55t59,16229,DC
DC0001,female,60t61,5985,DC
DC0001,female,62t64,10168,DC
DC0001,female,65t66,6125,DC
DC0001,female,67t69,7973,DC
DC0001,female,70t74,14331,DC
DC0001,female,75t79,10796,DC
DC0001,female,80t84,6490,DC
DC0001,female,85plus,6007,DC
