area,gender,age,count,region
FL0001,male,U5,577538,FL
FL0001,male,5t9,614240,FL
FL0001,male,10t14,643510,FL
FL0001,male,15t17,416043,FL
FL0001,male,18t19,262475,FL
FL0001,male,20t21,256626,FL
FL0001,male,22t24,397498,FL
FL0001,male,25t29,681252,FL
FL0001,male,30t34,743724,FL
FL0001,male,35t39,733013,FL
FL0001,male,40t44,726357,FL
FL0001,male,45t49,658490,FL
FL0001,male,50t54,707777,FL
FL0001,male,55t59,699667,FL
FL0001,male,60t61,311088,FL
FL0001,male,62t64,451499,FL
FL0001,male,65t66,279294,FL
FL0001,male,67t69,390514,FL
FL0001,male,70t74,575305,FL
FL0001,male,75t79,479053,FL
FL0001,male,80t84,286607,FL
FL0001,male,85plus,225005,FL
FL0001,female,U5,544732,FL
FL0001,female,5t9,572389,FL
FL0001,female,10t14,622698,FL
FL0001,female,15t17,387866,FL
FL0001,female,18t19,261758,FL
FL0001,female,20t21,248678,FL
FL0001,female,22t24,382805,FL
FL0001,female,25t29,660983,FL
FL0001,female,30t34,728674,FL
FL0001,female,35t39,733722,FL
FL0001,female,40t44,708506,FL
FL0001,female,45t49,673596,FL
FL0001,female,50t54,720663,FL
FL0001,female,55t59,729993,FL
FL0001,female,60t61,342852,FL
FL0001,female,62t64,492232,FL
FL0001,female,65t66,310974,FL
FL0001,female,67t69,447756,FL
FL0001,female,70t74,677679,FL
FL0001,female,75t79,552488,FL
FL0001,female,80t84,371282,FL
FL0001,female,85plus,321825,FL
