area,gender,age,count,region
GA0001,male,U5,317176,GA
GA0001,male,5t9,351495,GA
GA0001,male,10t14,383224,GA
GA0001,male,15t17,246152,GA
GA0001,male,18t19,155815,GA
GA0001,male,20t21,157030,GA
GA0001,male,22t24,222889,GA
GA0001,male,25t29,367559,GA
GA0001,male,30t34,382001,GA
GA0001,male,35t39,360989,GA
GA0001,male,40t44,354385,GA
GA0001,male,45t49,330763,GA
GA0001,male,50t54,353385,GA
GA0001,male,55t59,322848,GA
GA0001,male,60t61,132634,GA
GA0001,male,62t64,190770,GA
GA0001,male,65t66,114506,GA
GA0001,male,67t69,151330,GA
GA0001,male,70t74,207419,GA
GA0001,male,75t79,145934,GA
GA0001,male,80t84,79515,GA
GA0001,male,85plus,50685,GA
GA0001,female,U5,304574,GA
GA0001,female,5t9,337340,GA
GA0001,female,10t14,363096,GA
GA0001,female,15t17,231291,GA
GA0001,female,18t19,146591,GA
GA0001,female,20t21,146492,GA
GA0001,female,22t24,217943,GA
GA0001,female,25t29,367859,GA
GA0001,female,30t34,399198,GA
GA0001,female,35t39,378405,GA
GA0001,female,40t44,393137,GA
GA0001,female,45t49,353188,GA
GA0001,female,50t54,369373,GA
GA0001,female,55t59,344574,GA
GA0001,female,60t61,139214,GA
GA0001,female,62t64,208587,GA
GA0001,female,65t66,125140,GA
GA0001,female,67t69,173328,GA
GA0001,female,70t74,259341,GA
GA0001,female,75t79,189551,GA
GA0001,female,80t84,106864,GA
GA0001,female,85plus,95637,GA
