area,gender,age,count,region
HI0001,male,U5,39303,HI
HI0001,male,5t9,40953,HI
HI0001,male,10t14,46447,HI
HI0001,male,15t17,24284,HI
HI0001,male,18t19,15917,HI
HI0001,male,20t21,16892,HI
HI0001,male,22t24,31877,HI
HI0001,male,25t29,44221,HI
HI0001,male,30t34,51304,HI
HI0001,male,35t39,47299,HI
HI0001,male,40t44,50640,HI
HI0001,male,45t49,41004,HI
HI0001,male,50t54,42672,HI
HI0001,male,55t59,41319,HI
HI0001,male,60t61,19556,HI
HI0001,male,62t64,26306,HI
HI0001,male,65t66,18004,HI
HI0001,male,67t69,24374,HI
HI0001,male,70t74,37436,HI
HI0001,male,75t79,28904,HI
HI0001,male,80t84,17730,HI
HI0001,male,85plus,12698,HI
HI0001,female,U5,38117,HI
HI0001,female,5t9,39910,HI
HI0001,female,10t14,41735,HI
HI0001,female,15t17,23138,HI
HI0001,female,18t19,14704,HI
HI0001,female,20t21,16529,HI
HI0001,female,22t24,20435,HI
HI0001,female,25t29,42386,HI
HI0001,female,30t34,47842,HI
HI0001,female,35t39,46918,HI
HI0001,female,40t44,47659,HI
HI0001,female,45t49,41130,HI
HI0001,female,50t54,42718,HI
HI0001,female,55t59,43584,HI
HI0001,female,60t61,16919,HI
HI0001,female,62t64,28068,HI
HI0001,female,65t66,20416,HI
HI0001,female,67t69,24940,HI
HI0001,female,70t74,41036,HI
HI0001,female,75t79,33422,HI
HI0001,female,80t84,21139,HI
HI0001,female,85plus,23253,HI
