area,gender,age,count,region
IA0001,male,U5,93117,IA
IA0001,male,5t9,100862,IA
IA0001,male,10t14,107323,IA
IA0001,male,15t17,67889,IA
IA0001,male,18t19,48548,IA
IA0001,male,20t21,46767,IA
IA0001,male,22t24,69726,IA
IA0001,male,25t29,100039,IA
IA0001,male,30t34,104038,IA
IA0001,male,35t39,98453,IA
IA0001,male,40t44,108437,IA
IA0001,male,45t49,93009,IA
IA0001,male,50t54,93216,IA
IA0001,male,55t59,92003,IA
IA0001,male,60t61,41270,IA
IA0001,male,62t64,63630,IA
IA0001,male,65t66,37231,IA
IA0001,male,67t69,53082,IA
IA0001,male,70t74,79060,IA
IA0001,male,75t79,47614,IA
IA0001,male,80t84,31819,IA
IA0001,male,85plus,25180,IA
IA0001,female,U5,88946,IA
IA0001,female,5t9,99434,IA
IA0001,female,10t14,102951,IA
IA0001,female,15t17,65025,IA
IA0001,female,18t19,44008,IA
IA0001,female,20t21,41477,IA
IA0001,female,22t24,64506,IA
IA0001,female,25t29,97257,IA
IA0001,female,30t34,97292,IA
IA0001,female,35t39,100420,IA
IA0001,female,40t44,103103,IA
IA0001,female,45t49,88424,IA
IA0001,female,50t54,89717,IA
IA0001,female,55t59,90320,IA
IA0001,female,60t61,44725,IA
IA0001,female,62t64,66184,IA
IA0001,female,65t66,38269,IA
IA0001,female,67t69,57217,IA
IA0001,female,70t74,80364,IA
IA0001,female,75t79,57940,IA
IA0001,female,80t84,41267,IA
IA0001,female,85plus,45845,IA
