area,gender,age,count,region
ID0001,male,U5,57550,ID
ID0001,male,5t9,65695,ID
ID0001,male,10t14,70890,ID
ID0001,male,15t17,46380,ID
ID0001,male,18t19,28877,ID
ID0001,male,20t21,31666,ID
ID0001,male,22t24,36345,ID
ID0001,male,25t29,63860,ID
ID0001,male,30t34,67224,ID
ID0001,male,35t39,64658,ID
ID0001,male,40t44,65847,ID
ID0001,male,45t49,59295,ID
ID0001,male,50t54,56169,ID
ID0001,male,55t59,51495,ID
ID0001,male,60t61,23828,ID
ID0001,male,62t64,35611,ID
ID0001,male,65t66,20717,ID
ID0001,male,67t69,32873,ID
ID0001,male,70t74,47687,ID
ID0001,male,75t79,30248,ID
ID0001,male,80t84,19302,ID
ID0001,male,85plus,12240,ID
ID0001,female,U5,53358,ID
ID0001,female,5t9,61584,ID
ID0001,female,10t14,68345,ID
ID0001,female,15t17,42589,ID
ID0001,female,18t19,30472,ID
ID0001,female,20t21,26048,ID
ID0001,female,22t24,39223,ID
ID0001,female,25t29,59881,ID
ID0001,female,30t34,63353,ID
ID0001,female,35t39,62107,ID
ID0001,female,40t44,66197,ID
ID0001,female,45t49,56153,ID
ID0001,female,50t54,53276,ID
ID0001,female,55t59,53105,ID
ID0001,female,60t61,24327,ID
ID0001,female,62t64,37059,ID
ID0001,female,65t66,24047,ID
ID0001,female,67t69,32640,ID
ID0001,female,70t74,49731,ID
ID0001,female,75t79,32324,ID
ID0001,female,80t84,22576,ID
ID0001,female,85plus,17874,ID
