area,gender,age,count,region
IL0001,male,U5,333778,IL
IL0001,male,5t9,388433,IL
IL0001,male,10t14,399053,IL
IL0001,male,15t17,257198,IL
IL0001,male,18t19,165712,IL
IL0001,male,20t21,156907,IL
IL0001,male,22t24,257152,IL
IL0001,male,25t29,414609,IL
IL0001,male,30t34,433403,IL
IL0001,male,35t39,416625,IL
IL0001,male,40t44,427890,IL
IL0001,male,45t49,381100,IL
IL0001,male,50t54,397062,IL
IL0001,male,55t59,378946,IL
IL0001,male,60t61,167142,IL
IL0001,male,62t64,234843,IL
IL0001,male,65t66,145412,IL
IL0001,male,67t69,195979,IL
IL0001,male,70t74,270011,IL
IL0001,male,75t79,176580,IL
IL0001,male,80t84,112227,IL
IL0001,male,85plus,87596,IL
IL0001,female,U5,327248,IL
IL0001,female,5t9,364835,IL
IL0001,female,10t14,380780,IL
IL0001,female,15t17,250302,IL
IL0001,female,18t19,154281,IL
IL0001,female,20t21,149653,IL
IL0001,female,22t24,253361,IL
IL0001,female,25t29,408045,IL
IL0001,female,30t34,426167,IL
IL0001,female,35t39,415702,IL
IL0001,female,40t44,418187,IL
IL0001,female,45t49,383266,IL
IL0001,female,50t54,393380,IL
IL0001,female,55t59,384805,IL
IL0001,female,60t61,164793,IL
IL0001,female,62t64,259201,IL
IL0001,female,65t66,156716,IL
IL0001,female,67t69,219275,IL
IL0001,female,70t74,308211,IL
IL0001,female,75t79,218144,IL
IL0001,female,80t84,156707,IL
IL0001,female,85plus,158972,IL
