area,gender,age,count,region
IN0001,male,U5,207995,IN
IN0001,male,5t9,230566,IN
IN0001,male,10t14,229253,IN
IN0001,male,15t17,149690,IN
IN0001,male,18t19,100553,IN
IN0001,male,20t21,95065,IN
IN0001,male,22t24,149164,IN
IN0001,male,25t29,220868,IN
IN0001,male,30t34,228980,IN
IN0001,male,35t39,218925,IN
IN0001,male,40t44,223188,IN
IN0001,male,45t49,201897,IN
IN0001,male,50t54,210364,IN
IN0001,male,55t59,201053,IN
IN0001,male,60t61,84165,IN
IN0001,male,62t64,129753,IN
IN0001,male,65t66,77377,IN
IN0001,male,67t69,107473,IN
IN0001,male,70t74,147527,IN
IN0001,male,75t79,97544,IN
IN0001,male,80t84,60381,IN
IN0001,male,85plus,40384,IN
IN0001,female,U5,193563,IN
IN0001,female,5t9,209034,IN
IN0001,female,10t14,217301,IN
IN0001,female,15t17,143504,IN
IN0001,female,18t19,92184,IN
IN0001,female,20t21,90573,IN
IN0001,female,22t24,138784,IN
IN0001,female,25t29,216315,IN
IN0001,female,30t34,226697,IN
IN0001,female,35t39,220213,IN
IN0001,female,40t44,216453,IN
IN0001,female,45t49,194582,IN
IN0001,female,50t54,211660,IN
IN0001,female,55t59,206174,IN
IN0001,female,60t61,88337,IN
IN0001,female,62t64,133778,IN
IN0001,female,65t66,86606,IN
IN0001,female,67t69,119600,IN
IN0001,female,70t74,165738,IN
IN0001,female,75t79,118411,IN
IN0001,female,80t84,81624,IN
IN0001,female,85plus,78903,IN
