area,gender,age,count,region
KS0001,male,U5,84789,KS
KS0001,male,5t9,97108,KS
KS0001,male,10t14,104830,KS
KS0001,male,15t17,67080,KS
KS0001,male,18t19,41893,KS
KS0001,male,20t21,48992,KS
KS0001,male,22t24,68591,KS
KS0001,male,25t29,97502,KS
KS0001,male,30t34,94213,KS
KS0001,male,35t39,95791,KS
KS0001,male,40t44,101346,KS
KS0001,male,45t49,81969,KS
KS0001,male,50t54,84185,KS
KS0001,male,55t59,79601,KS
KS0001,male,60t61,35399,KS
KS0001,male,62t64,54646,KS
KS0001,male,65t66,36706,KS
KS0001,male,67t69,45391,KS
KS0001,male,70t74,66073,KS
KS0001,male,75t79,44998,KS
KS0001,male,80t84,24472,KS
KS0001,male,85plus,20926,KS
KS0001,female,U5,85041,KS
KS0001,female,5t9,85755,KS
KS0001,female,10t14,101914,KS
KS0001,female,15t17,60247,KS
KS0001,female,18t19,41393,KS
KS0001,female,20t21,37753,KS
KS0001,female,22t24,58909,KS
KS0001,female,25t29,92441,KS
KS0001,female,30t34,93672,KS
KS0001,female,35t39,94431,KS
KS0001,female,40t44,96233,KS
KS0001,female,45t49,80024,KS
KS0001,female,50t54,79482,KS
KS0001,female,55t59,78317,KS
KS0001,female,60t61,40026,KS
KS0001,female,62t64,58609,KS
KS0001,female,65t66,33478,KS
KS0001,female,67t69,49902,KS
KS0001,female,70t74,75440,KS
KS0001,female,75t79,49939,KS
KS0001,female,80t84,35637,KS
KS0001,female,85plus,35403,KS
