area,gender,age,count,region
KY0001,male,U5,137718,KY
KY0001,male,5t9,143254,KY
KY0001,male,10t14,147739,KY
KY0001,male,15t17,92100,KY
KY0001,male,18t19,54231,KY
KY0001,male,20t21,55973,KY
KY0001,male,22t24,99892,KY
KY0001,male,25t29,151239,KY
KY0001,male,30t34,153085,KY
KY0001,male,35t39,146941,KY
KY0001,male,40t44,139962,KY
KY0001,male,45t49,135537,KY
KY0001,male,50t54,142248,KY
KY0001,male,55t59,138311,KY
KY0001,male,60t61,57475,KY
KY0001,male,62t64,85447,KY
KY0001,male,65t66,47055,KY
KY0001,male,67t69,74003,KY
KY0001,male,70t74,106744,KY
KY0001,male,75t79,67854,KY
KY0001,male,80t84,42632,KY
KY0001,male,85plus,24250,KY
KY0001,female,U5,126915,KY
KY0001,female,5t9,135146,KY
KY0001,female,10t14,141187,KY
KY0001,female,15t17,87678,KY
KY0001,female,18t19,52712,KY
KY0001,female,20t21,54781,KY
KY0001,female,22t24,89553,KY
KY0001,female,25t29,139858,KY
KY0001,female,30t34,151486,KY
KY0001,female,35t39,144509,KY
KY0001,female,40t44,138347,KY
KY0001,female,45t49,135851,KY
KY0001,female,50t54,142272,KY
KY0001,female,55t59,144446,KY
KY0001,female,60t61,67229,KY
KY0001,female,62t64,88264,KY
KY0001,female,65t66,63009,KY
KY0001,female,67t69,77122,KY
KY0001,female,70t74,116645,KY
KY0001,female,75t79,86395,KY
KY0001,female,80t84,52261,KY
KY0001,female,85plus,46798,KY
