area,gender,age,count,region
MA0001,male,U5,175110,MA
MA0001,male,5t9,188029,MA
MA0001,male,10t14,194750,MA
MA0001,male,15t17,131559,MA
MA0001,male,18t19,99848,MA
MA0001,male,20t21,88841,MA
MA0001,male,22t24,148174,MA
MA0001,male,25t29,237172,MA
MA0001,male,30t34,247786,MA
MA0001,male,35t39,237803,MA
MA0001,male,40t44,225104,MA
MA0001,male,45t49,198726,MA
MA0001,male,50t54,215510,MA
MA0001,male,55t59,222388,MA
MA0001,male,60t61,99344,MA
MA0001,male,62t64,136713,MA
MA0001,male,65t66,87190,MA
MA0001,male,67t69,111631,MA
MA0001,male,70t74,153282,MA
MA0001,male,75t79,108497,MA
MA0001,male,80t84,64128,MA
MA0001,male,85plus,49601,MA
MA0001,female,U5,167035,MA
MA0001,female,5t9,175009,MA
MA0001,female,10t14,189412,MA
MA0001,female,15t17,120535,MA
MA0001,female,18t19,105616,MA
MA0001,female,20t21,96819,MA
MA0001,female,22t24,145510,MA
MA0001,female,25t29,235351,MA
MA0001,female,30t34,246137,MA
MA0001,female,35t39,242518,MA
MA0001,female,40t44,221962,MA
MA0001,female,45t49,205797,MA
MA0001,female,50t54,225120,MA
MA0001,female,55t59,231770,MA
MA0001,female,60t61,101866,MA
MA0001,female,62t64,151201,MA
MA0001,female,65t66,87511,MA
MA0001,female,67t69,127123,MA
MA0001,female,70t74,186342,MA
MA0001,female,75t79,138291,MA
MA0001,female,80t84,88306,MA
MA0001,female,85plus,90982,MA
