area,gender,age,count,region
MD0001,male,U5,174706,MD
MD0001,male,5t9,192840,MD
MD0001,male,10t14,199231,MD
MD0001,male,15t17,124585,MD
MD0001,male,18t19,78194,MD
MD0001,male,20t21,75228,MD
MD0001,male,22t24,110698,MD
MD0001,male,25t29,183553,MD
MD0001,male,30t34,208739,MD
MD0001,male,35t39,209411,MD
MD0001,male,40t44,206466,MD
MD0001,male,45t49,186230,MD
MD0001,male,50t54,190181,MD
MD0001,male,55t59,196832,MD
MD0001,male,60t61,81143,MD
MD0001,male,62t64,113884,MD
MD0001,male,65t66,68930,MD
MD0001,male,67t69,89834,MD
MD0001,male,70t74,127703,MD
MD0001,male,75t79,91503,MD
MD0001,male,80t84,50228,MD
MD0001,male,85plus,39985,MD
MD0001,female,U5,172130,MD
MD0001,female,5t9,182975,MD
MD0001,female,10t14,191632,MD
MD0001,female,15t17,120822,MD
MD0001,female,18t19,77994,MD
MD0001,female,20t21,69787,MD
MD0001,female,22t24,111992,MD
MD0001,female,25t29,187392,MD
MD0001,female,30t34,212468,MD
MD0001,female,35t39,220486,MD
MD0001,female,40t44,214113,MD
MD0001,female,45t49,188895,MD
MD0001,female,50t54,202905,MD
MD0001,female,55t59,208469,MD
MD0001,female,60t61,86847,MD
MD0001,female,62t64,132787,MD
MD0001,female,65t66,75406,MD
MD0001,female,67t69,106754,MD
MD0001,female,70t74,157449,MD
MD0001,female,75t79,114537,MD
MD0001,female,80t84,74989,MD
MD0001,female,85plus,69320,MD
