area,gender,age,count,region
ME0001,male,U5,30229,ME
ME0001,male,5t9,33734,ME
ME0001,male,10t14,38332,ME
ME0001,male,15t17,23928,ME
ME0001,male,18t19,16872,ME
ME0001,male,20t21,15372,ME
ME0001,male,22t24,25491,ME
ME0001,male,25t29,39829,ME
ME0001,male,30t34,43174,ME
ME0001,male,35t39,42748,ME
ME0001,male,40t44,44288,ME
ME0001,male,45t49,38100,ME
ME0001,male,50t54,45115,ME
ME0001,male,55t59,45403,ME
ME0001,male,60t61,22442,ME
ME0001,male,62t64,32192,ME
ME0001,male,65t66,18949,ME
ME0001,male,67t69,30863,ME
ME0001,male,70t74,40772,ME
ME0001,male,75t79,28433,ME
ME0001,male,80t84,16332,ME
ME0001,male,85plus,12528,ME
ME0001,female,U5,29669,ME
ME0001,female,5t9,32645,ME
ME0001,female,10t14,34260,ME
ME0001,female,15t17,22981,ME
ME0001,female,18t19,16205,ME
ME0001,female,20t21,15433,ME
ME0001,female,22t24,21111,ME
ME0001,female,25t29,39975,ME
ME0001,female,30t34,45287,ME
ME0001,female,35t39,42772,ME
ME0001,female,40t44,45949,ME
ME0001,female,45t49,38835,ME
ME0001,female,50t54,46052,ME
ME0001,female,55t59,49620,ME
ME0001,female,60t61,20840,ME
ME0001,female,62t64,36719,ME
ME0001,female,65t66,23641,ME
ME0001,female,67t69,30458,ME
ME0001,female,70t74,45124,ME
ME0001,female,75t79,32327,ME
ME0001,female,80t84,22725,ME
ME0001,female,85plus,17968,ME
