area,gender,age,count,region
MI0001,male,U5,268093,MI
MI0001,male,5t9,298488,MI
MI0001,male,10t14,313054,MI
MI0001,male,15t17,198600,MI
MI0001,male,18t19,133260,MI
MI0001,male,20t21,132900,MI
MI0001,male,22t24,201041,MI
MI0001,male,25t29,324985,MI
MI0001,male,30t34,346366,MI
MI0001,male,35t39,308290,MI
MI0001,male,40t44,306223,MI
MI0001,male,45t49,281746,MI
MI0001,male,50t54,312435,MI
MI0001,male,55t59,319486,MI
MI0001,male,60t61,133220,MI
MI0001,male,62t64,205071,MI
MI0001,male,65t66,126196,MI
MI0001,male,67t69,178129,MI
MI0001,male,70t74,247461,MI
MI0001,male,75t79,164775,MI
MI0001,male,80t84,93732,MI
MI0001,male,85plus,71966,MI
MI0001,female,U5,261366,MI
MI0001,female,5t9,282792,MI
MI0001,female,10t14,298675,MI
MI0001,female,15t17,189403,MI
MI0001,female,18t19,125759,MI
MI0001,female,20t21,131528,MI
MI0001,female,22t24,194446,MI
MI0001,female,25t29,308718,MI
MI0001,female,30t34,334283,MI
MI0001,female,35t39,309185,MI
MI0001,female,40t44,305755,MI
MI0001,female,45t49,285312,MI
MI0001,female,50t54,314843,MI
MI0001,female,55t59,320709,MI
MI0001,female,60t61,143820,MI
MI0001,female,62t64,215184,MI
MI0001,female,65t66,139219,MI
MI0001,female,67t69,194102,MI
MI0001,female,70t74,274893,MI
MI0001,female,75t79,186040,MI
MI0001,female,80t84,132428,MI
MI0001,female,85plus,123284,MI
