area,gender,age,count,region
MN0001,male,U5,165274,MN
MN0001,male,5t9,176649,MN
MN0001,male,10t14,199220,MN
MN0001,male,15t17,115887,MN
MN0001,male,18t19,78585,MN
MN0001,male,20t21,74791,MN
MN0001,male,22t24,103301,MN
MN0001,male,25t29,182032,MN
MN0001,male,30t34,194477,MN
MN0001,male,35t39,205627,MN
MN0001,male,40t44,192073,MN
MN0001,male,45t49,169710,MN
MN0001,male,50t54,172176,MN
MN0001,male,55t59,171982,MN
MN0001,male,60t61,77030,MN
MN0001,male,62t64,114510,MN
MN0001,male,65t66,70791,MN
MN0001,male,67t69,92692,MN
MN0001,male,70t74,132791,MN
MN0001,male,75t79,85848,MN
MN0001,male,80t84,51816,MN
MN0001,male,85plus,42746,MN
MN0001,female,U5,161721,MN
MN0001,female,5t9,171947,MN
MN0001,female,10t14,186689,MN
MN0001,female,15t17,117588,MN
MN0001,female,18t19,73942,MN
MN0001,female,20t21,68632,MN
MN0001,female,22t24,102114,MN
MN0001,female,25t29,177232,MN
MN0001,female,30t34,185934,MN
MN0001,female,35t39,197590,MN
MN0001,female,40t44,189484,MN
MN0001,female,45t49,161117,MN
MN0001,female,50t54,162859,MN
MN0001,female,55t59,166516,MN
MN0001,female,60t61,81363,MN
MN0001,female,62t64,113935,MN
MN0001,female,65t66,70445,MN
MN0001,female,67t69,101509,MN
MN0001,female,70t74,138233,MN
MN0001,female,75t79,98417,MN
MN0001,female,80t84,69556,MN
MN0001,female,85plus,71084,MN
