area,gender,age,count,region
MO0001,male,U5,180725,MO
MO0001,male,5t9,197121,MO
MO0001,male,10t14,199079,MO
MO0001,male,15t17,130941,MO
MO0001,male,18t19,83894,MO
MO0001,male,20t21,78428,MO
MO0001,male,22t24,127026,MO
MO0001,male,25t29,197428,MO
MO0001,male,30t34,208229,MO
MO0001,male,35t39,201898,MO
MO0001,male,40t44,197342,MO
MO0001,male,45t49,176436,MO
MO0001,male,50t54,180833,MO
MO0001,male,55t59,179579,MO
MO0001,male,60t61,78831,MO
MO0001,male,62t64,126248,MO
MO0001,male,65t66,72617,MO
MO0001,male,67t69,101724,MO
MO0001,male,70t74,142377,MO
MO0001,male,75t79,95179,MO
MO0001,male,80t84,56610,MO
MO0001,male,85plus,44231,MO
MO0001,female,U5,167691,MO
MO0001,female,5t9,182128,MO
MO0001,female,10t14,192626,MO
MO0001,female,15t17,121028,MO
MO0001,female,18t19,79113,MO
MO0001,female,20t21,80298,MO
MO0001,female,22t24,120248,MO
MO0001,female,25t29,194033,MO
MO0001,female,30t34,207083,MO
MO0001,female,35t39,202535,MO
MO0001,female,40t44,198519,MO
MO0001,female,45t49,178505,MO
MO0001,female,50t54,184458,MO
MO0001,female,55t59,187891,MO
MO0001,female,60t61,92972,MO
MO0001,female,62t64,124493,MO
MO0001,female,65t66,85543,MO
MO0001,female,67t69,109153,MO
MO0001,female,70t74,160273,MO
MO0001,female,75t79,115335,MO
MO0001,female,80t84,81447,MO
MO0001,female,85plus,74008,MO
