area,gender,age,count,region
MS0001,male,U5,84053,MS
MS0001,male,5t9,90659,MS
MS0001,male,10t14,101559,MS
MS0001,male,15t17,69291,MS
MS0001,male,18t19,49583,MS
MS0001,male,20t21,41360,MS
MS0001,male,22t24,57636,MS
MS0001,male,25t29,81978,MS
MS0001,male,30t34,85010,MS
MS0001,male,35t39,87468,MS
MS0001,male,40t44,100065,MS
MS0001,male,45t49,86750,MS
MS0001,male,50t54,86215,MS
MS0001,male,55t59,82336,MS
MS0001,male,60t61,37074,MS
MS0001,male,62t64,55814,MS
MS0001,male,65t66,31910,MS
MS0001,male,67t69,47272,MS
MS0001,male,70t74,65406,MS
MS0001,male,75t79,44332,MS
MS0001,male,80t84,21454,MS
MS0001,male,85plus,17696,MS
MS0001,female,U5,82962,MS
MS0001,female,5t9,86444,MS
MS0001,female,10t14,97073,MS
MS0001,female,15t17,63193,MS
MS0001,female,18t19,41824,MS
MS0001,female,20t21,38532,MS
MS0001,female,22t24,55374,MS
MS0001,female,25t29,91617,MS
MS0001,female,30t34,92123,MS
MS0001,female,35t39,93235,MS
MS0001,female,40t44,108260,MS
MS0001,female,45t49,93263,MS
MS0001,female,50t54,91466,MS
MS0001,female,55t59,87668,MS
MS0001,female,60t61,38995,MS
MS0001,female,62t64,64318,MS
MS0001,female,65t66,37158,MS
MS0001,female,67t69,55283,MS
MS0001,female,70t74,74624,MS
MS0001,female,75t79,53890,MS
MS0001,female,80t84,37579,MS
MS0001,female,85plus,29888,MS
