area,gender,age,count,region
MT0001,male,U5,28308,MT
MT0001,male,5t9,33986,MT
MT0001,male,10t14,36011,MT
MT0001,male,15t17,21773,MT
MT0001,male,18t19,14339,MT
MT0001,male,20t21,16986,MT
MT0001,male,22t24,22266,MT
MT0001,male,25t29,35611,MT
MT0001,male,30t34,39472,MT
MT0001,male,35t39,40505,MT
MT0001,male,40t44,37056,MT
MT0001,male,45t49,32400,MT
MT0001,male,50t54,32020,MT
MT0001,male,55t59,31290,MT
MT0001,male,60t61,15641,MT
MT0001,male,62t64,23470,MT
MT0001,male,65t66,13439,MT
MT0001,male,67t69,21065,MT
MT0001,male,70t74,34306,MT
MT0001,male,75t79,20998,MT
MT0001,male,80t84,12648,MT
MT0001,male,85plus,8989,MT
MT0001,female,U5,27055,MT
MT0001,female,5t9,34061,MT
MT0001,female,10t14,33909,MT
MT0001,female,15t17,20459,MT
MT0001,female,18t19,11794,MT
MT0001,female,20t21,17773,MT
MT0001,female,22t24,18247,MT
MT0001,female,25t29,33722,MT
MT0001,female,30t34,35830,MT
MT0001,female,35t39,35108,MT
MT0001,female,40t44,38040,MT
MT0001,female,45t49,31020,MT
MT0001,female,50t54,30371,MT
MT0001,female,55t59,33524,MT
MT0001,female,60t61,15870,MT
MT0001,female,62t64,22945,MT
MT0001,female,65t66,16029,MT
MT0001,female,67t69,24151,MT
MT0001,female,70t74,32141,MT
MT0001,female,75t79,21587,MT
MT0001,female,80t84,14375,MT
MT0001,female,85plus,12222,MT
