area,gender,age,count,region
NC0001,male,U5,308104,NC
NC0001,male,5t9,332857,NC
NC0001,male,10t14,341630,NC
NC0001,male,15t17,223648,NC
NC0001,male,18t19,154948,NC
NC0001,male,20t21,149415,NC
NC0001,male,22t24,226499,NC
NC0001,male,25t29,350478,NC
NC0001,male,30t34,367590,NC
NC0001,male,35t39,345834,NC
NC0001,male,40t44,339442,NC
NC0001,male,45t49,316123,NC
NC0001,male,50t54,345824,NC
NC0001,male,55t59,326532,NC
NC0001,male,60t61,139256,NC
NC0001,male,62t64,194939,NC
NC0001,male,65t66,124856,NC
NC0001,male,67t69,169922,NC
NC0001,male,70t74,230252,NC
NC0001,male,75t79,168194,NC
NC0001,male,80t84,93593,NC
NC0001,male,85plus,62118,NC
NC0001,female,U5,286635,NC
NC0001,female,5t9,308379,NC
NC0001,female,10t14,316967,NC
NC0001,female,15t17,204279,NC
NC0001,female,18t19,146576,NC
NC0001,female,20t21,143023,NC
NC0001,female,22t24,204979,NC
NC0001,female,25t29,350080,NC
NC0001,female,30t34,375623,NC
NC0001,female,35t39,356883,NC
NC0001,female,40t44,362747,NC
NC0001,female,45t49,336761,NC
NC0001,female,50t54,354511,NC
NC0001,female,55t59,348702,NC
NC0001,female,60t61,146669,NC
NC0001,female,62t64,214202,NC
NC0001,female,65t66,140894,NC
NC0001,female,67t69,189222,NC
NC0001,female,70t74,286574,NC
NC0001,female,75t79,206808,NC
NC0001,female,80t84,127065,NC
NC0001,female,85plus,115858,NC
