area,gender,age,count,region
ND0001,male,U5,22854,ND
ND0001,male,5t9,26207,ND
ND0001,male,10t14,26911,ND
ND0001,male,15t17,14802,ND
ND0001,male,18t19,12140,ND
ND0001,male,20t21,12803,ND
ND0001,male,22t24,18581,ND
ND0001,male,25t29,31676,ND
ND0001,male,30t34,30222,ND
ND0001,male,35t39,29886,ND
ND0001,male,40t44,26302,ND
ND0001,male,45t49,21267,ND
ND0001,male,50t54,19338,ND
ND0001,male,55t59,18383,ND
ND0001,male,60t61,10620,ND
ND0001,male,62t64,15235,ND
ND0001,male,65t66,8153,ND
ND0001,male,67t69,13399,ND
ND0001,male,70t74,17506,ND
ND0001,male,75t79,12006,ND
ND0001,male,80t84,6858,ND
ND0001,male,85plus,5342,ND
ND0001,female,U5,23634,ND
ND0001,female,5t9,25851,ND
ND0001,female,10t14,24826,ND
ND0001,female,15t17,14515,ND
ND0001,female,18t19,12915,ND
ND0001,female,20t21,12899,ND
ND0001,female,22t24,14982,ND
ND0001,female,25t29,28131,ND
ND0001,female,30t34,24802,ND
ND0001,female,35t39,26901,ND
ND0001,female,40t44,23616,ND
ND0001,female,45t49,17926,ND
ND0001,female,50t54,18332,ND
ND0001,female,55t59,20862,ND
ND0001,female,60t61,8448,ND
ND0001,female,62t64,14104,ND
ND0001,female,65t66,8581,ND
ND0001,female,67t69,12501,ND
ND0001,female,70t74,17499,ND
ND0001,female,75t79,13194,ND
ND0001,female,80t84,7314,ND
ND0001,female,85plus,11602,ND
