area,gender,age,count,region
NE0001,male,U5,61792,NE
NE0001,male,5t9,67061,NE
NE0001,male,10t14,72243,NE
NE0001,male,15t17,45229,NE
NE0001,male,18t19,26597,NE
NE0001,male,20t21,29364,NE
NE0001,male,22t24,43041,NE
NE0001,male,25t29,64709,NE
NE0001,male,30t34,65890,NE
NE0001,male,35t39,66623,NE
NE0001,male,40t44,65200,NE
NE0001,male,45t49,57340,NE
NE0001,male,50t54,55205,NE
NE0001,male,55t59,50929,NE
NE0001,male,60t61,26957,NE
NE0001,male,62t64,37129,NE
NE0001,male,65t66,23628,NE
NE0001,male,67t69,30090,NE
NE0001,male,70t74,43141,NE
NE0001,male,75t79,28206,NE
NE0001,male,80t84,18742,NE
NE0001,male,85plus,13293,NE
NE0001,female,U5,58707,NE
NE0001,female,5t9,63516,NE
NE0001,female,10t14,68760,NE
NE0001,female,15t17,41286,NE
NE0001,female,18t19,25343,NE
NE0001,female,20t21,27669,NE
NE0001,female,22t24,40525,NE
NE0001,female,25t29,60940,NE
NE0001,female,30t34,62668,NE
NE0001,female,35t39,62433,NE
NE0001,female,40t44,67865,NE
NE0001,female,45t49,54670,NE
NE0001,female,50t54,53245,NE
NE0001,female,55t59,51847,NE
NE0001,female,60t61,24682,NE
NE0001,female,62t64,37989,NE
NE0001,female,65t66,23758,NE
NE0001,female,67t69,33508,NE
NE0001,female,70t74,47521,NE
NE0001,female,75t79,34808,NE
NE0001,female,80t84,21341,NE
NE0001,female,85plus,22889,NE
