area,gender,age,count,region
NH0001,male,U5,32001,NH
NH0001,male,5t9,31975,NH
NH0001,male,10t14,40103,NH
NH0001,male,15t17,24294,NH
NH0001,male,18t19,18963,NH
NH0001,male,20t21,17518,NH
NH0001,male,22t24,24852,NH
NH0001,male,25t29,43811,NH
NH0001,male,30t34,47059,NH
NH0001,male,35t39,49497,NH
NH0001,male,40t44,43481,NH
NH0001,male,45t49,38761,NH
NH0001,male,50t54,45676,NH
NH0001,male,55t59,48479,NH
NH0001,male,60t61,23552,NH
NH0001,male,62t64,34221,NH
NH0001,male,65t66,22213,NH
NH0001,male,67t69,26807,NH
NH0001,male,70t74,36261,NH
NH0001,male,75t79,25248,NH
NH0001,male,80t84,15158,NH
NH0001,male,85plus,9948,NH
NH0001,female,U5,30778,NH
NH0001,female,5t9,32784,NH
NH0001,female,10t14,35382,NH
NH0001,female,15t17,23398,NH
NH0001,female,18t19,17609,NH
NH0001,female,20t21,18828,NH
NH0001,female,22t24,22604,NH
NH0001,female,25t29,39955,NH
NH0001,female,30t34,45330,NH
NH0001,female,35t39,46646,NH
NH0001,female,40t44,40182,NH
NH0001,female,45t49,38155,NH
NH0001,female,50t54,45925,NH
NH0001,female,55t59,49293,NH
NH0001,female,60t61,24617,NH
NH0001,female,62t64,36367,NH
NH0001,female,65t66,22456,NH
NH0001,female,67t69,26177,NH
NH0001,female,70t74,41234,NH
NH0001,female,75t79,29810,NH
NH0001,female,80t84,19140,NH
NH0001,female,85plus,15506,NH
