area,gender,age,count,region
NJ0001,male,U5,266652,NJ
NJ0001,male,5t9,272842,NJ
NJ0001,male,10t14,303044,NJ
NJ0001,male,15t17,185579,NJ
NJ0001,male,18t19,112967,NJ
NJ0001,male,20t21,103919,NJ
NJ0001,male,22t24,179167,NJ
NJ0001,male,25t29,284878,NJ
NJ0001,male,30t34,308709,NJ
NJ0001,male,35t39,317561,NJ
NJ0001,male,40t44,307417,NJ
NJ0001,male,45t49,287936,NJ
NJ0001,male,50t54,301980,NJ
NJ0001,male,55t59,303932,NJ
NJ0001,male,60t61,116970,NJ
NJ0001,male,62t64,190195,NJ
NJ0001,male,65t66,112955,NJ
NJ0001,male,67t69,139231,NJ
NJ0001,male,70t74,194660,NJ
NJ0001,male,75t79,132978,NJ
NJ0001,male,80t84,87247,NJ
NJ0001,male,85plus,62330,NJ
NJ0001,female,U5,251876,NJ
NJ0001,female,5t9,265620,NJ
NJ0001,female,10t14,284405,NJ
NJ0001,female,15t17,179147,NJ
NJ0001,female,18t19,104958,NJ
NJ0001,female,20t21,97314,NJ
NJ0001,female,22t24,172270,NJ
NJ0001,female,25t29,282658,NJ
NJ0001,female,30t34,306435,NJ
NJ0001,female,35t39,310972,NJ
NJ0001,female,40t44,302664,NJ
NJ0001,female,45t49,294915,NJ
NJ0001,female,50t54,309000,NJ
NJ0001,female,55t59,312398,NJ
NJ0001,female,60t61,128922,NJ
NJ0001,female,62t64,196762,NJ
NJ0001,female,65t66,119719,NJ
NJ0001,female,67t69,165365,NJ
NJ0001,female,70t74,222329,NJ
NJ0001,female,75t79,178360,NJ
NJ0001,female,80t84,115716,NJ
NJ0001,female,85plus,115887,NJ
