area,gender,age,count,region
NM0001,male,U5,53526,NM
NM0001,male,5t9,59142,NM
NM0001,male,10t14,71684,NM
NM0001,male,15t17,41977,NM
NM0001,male,18t19,28265,NM
NM0001,male,20t21,34063,NM
NM0001,male,22t24,40900,NM
NM0001,male,25t29,69433,NM
NM0001,male,30t34,72707,NM
NM0001,male,35t39,70551,NM
NM0001,male,40t44,69600,NM
NM0001,male,45t49,58786,NM
NM0001,male,50t54,60813,NM
NM0001,male,55t59,53488,NM
NM0001,male,60t61,26692,NM
NM0001,male,62t64,43123,NM
NM0001,male,65t66,24641,NM
NM0001,male,67t69,36935,NM
NM0001,male,70t74,55930,NM
NM0001,male,75t79,37914,NM
NM0001,male,80t84,22144,NM
NM0001,male,85plus,16231,NM
NM0001,female,U5,50767,NM
NM0001,female,5t9,58032,NM
NM0001,female,10t14,70513,NM
NM0001,female,15t17,42917,NM
NM0001,female,18t19,26983,NM
NM0001,female,20t21,25834,NM
NM0001,female,22t24,38711,NM
NM0001,female,25t29,64371,NM
NM0001,female,30t34,70314,NM
NM0001,female,35t39,70249,NM
NM0001,female,40t44,65685,NM
NM0001,female,45t49,59857,NM
NM0001,female,50t54,60458,NM
NM0001,female,55t59,58275,NM
NM0001,female,60t61,31537,NM
NM0001,female,62t64,43346,NM
NM0001,female,65t66,24239,NM
NM0001,female,67t69,40547,NM
NM0001,female,70t74,66741,NM
NM0001,female,75t79,43579,NM
NM0001,female,80t84,27254,NM
NM0001,female,85plus,25617,NM
