area,gender,age,count,region
NV0001,male,U5,87498,NV
NV0001,male,5t9,93419,NV
NV0001,male,10t14,104521,NV
NV0001,male,15t17,65134,NV
NV0001,male,18t19,39326,NV
NV0001,male,20t21,34233,NV
NV0001,male,22t24,59484,NV
NV0001,male,25t29,110239,NV
NV0001,male,30t34,122403,NV
NV0001,male,35t39,114131,NV
NV0001,male,40t44,114595,NV
NV0001,male,45t49,98923,NV
NV0001,male,50t54,103754,NV
NV0001,male,55t59,95754,NV
NV0001,male,60t61,41308,NV
NV0001,male,62t64,60818,NV
NV0001,male,65t66,35119,NV
NV0001,male,67t69,48020,NV
NV0001,male,70t74,75757,NV
NV0001,male,75t79,54323,NV
NV0001,male,80t84,30685,NV
NV0001,male,85plus,18050,NV
NV0001,female,U5,83665,NV
NV0001,female,5t9,97339,NV
NV0001,female,10t14,91742,NV
NV0001,female,15t17,61198,NV
NV0001,female,18t19,33731,NV
NV0001,female,20t21,30901,NV
NV0001,female,22t24,58732,NV
NV0001,female,25t29,104764,NV
NV0001,female,30t34,118186,NV
NV0001,female,35t39,111910,NV
NV0001,female,40t44,106099,NV
NV0001,female,45t49,97017,NV
NV0001,female,50t54,101376,NV
NV0001,female,55t59,96754,NV
NV0001,female,60t61,38050,NV
NV0001,female,62t64,62313,NV
NV0001,female,65t66,38181,NV
NV0001,female,67t69,56326,NV
NV0001,female,70t74,79015,NV
NV0001,female,75t79,57878,NV
NV0001,female,80t84,36025,NV
NV0001,female,85plus,25480,NV
