area,gender,age,count,region
NY0001,male,U5,529213,NY
NY0001,male,5t9,539673,NY
NY0001,male,10t14,595078,NY
NY0001,male,15t17,359583,NY
NY0001,male,18t19,250342,NY
NY0001,male,20t21,242512,NY
NY0001,male,22t24,373763,NY
NY0001,male,25t29,656240,NY
NY0001,male,30t34,702015,NY
NY0001,male,35t39,651896,NY
NY0001,male,40t44,625674,NY
NY0001,male,45t49,559275,NY
NY0001,male,50t54,601816,NY
NY0001,male,55t59,617130,NY
NY0001,male,60t61,255058,NY
NY0001,male,62t64,385277,NY
NY0001,male,65t66,225868,NY
NY0001,male,67t69,310144,NY
NY0001,male,70t74,438527,NY
NY0001,male,75t79,303238,NY
NY0001,male,80t84,181606,NY
NY0001,male,85plus,147976,NY
NY0001,female,U5,506495,NY
NY0001,female,5t9,521181,NY
NY0001,female,10t14,558219,NY
NY0001,female,15t17,341307,NY
NY0001,female,18t19,252660,NY
NY0001,female,20t21,239308,NY
NY0001,female,22t24,376727,NY
NY0001,female,25t29,674355,NY
NY0001,female,30t34,701678,NY
NY0001,female,35t39,646105,NY
NY0001,female,40t44,628852,NY
NY0001,female,45t49,581933,NY
NY0001,female,50t54,624039,NY
NY0001,female,55t59,663446,NY
NY0001,female,60t61,268343,NY
NY0001,female,62t64,406522,NY
NY0001,female,65t66,247765,NY
NY0001,female,67t69,343153,NY
NY0001,female,70t74,517619,NY
NY0001,female,75t79,388641,NY
NY0001,female,80t84,260637,NY
NY0001,female,85plus,270327,NY
