area,gender,age,count,region
OH0001,male,U5,335812,OH
OH0001,male,5t9,366843,OH
OH0001,male,10t14,373113,OH
OH0001,male,15t17,242376,OH
OH0001,male,18t19,158789,OH
OH0001,male,20t21,156736,OH
OH0001,male,22t24,218204,OH
OH0001,male,25t29,382852,OH
OH0001,male,30t34,400132,OH
OH0001,male,35t39,374128,OH
OH0001,male,40t44,366204,OH
OH0001,male,45t49,336583,OH
OH0001,male,50t54,365629,OH
OH0001,male,55t59,357438,OH
OH0001,male,60t61,149460,OH
OH0001,male,62t64,237491,OH
OH0001,male,65t66,149387,OH
OH0001,male,67t69,200640,OH
OH0001,male,70t74,271763,OH
OH0001,male,75t79,177891,OH
OH0001,male,80t84,105644,OH
OH0001,male,85plus,86701,OH
OH0001,female,U5,318871,OH
OH0001,female,5t9,341882,OH
OH0001,female,10t14,366384,OH
OH0001,female,15t17,225340,OH
OH0001,female,18t19,149017,OH
OH0001,female,20t21,143047,OH
OH0001,female,22t24,216829,OH
OH0001,female,25t29,371540,OH
OH0001,female,30t34,396262,OH
OH0001,female,35t39,372676,OH
OH0001,female,40t44,368846,OH
OH0001,female,45t49,336787,OH
OH0001,female,50t54,366018,OH
OH0001,female,55t59,364351,OH
OH0001,female,60t61,161185,OH
OH0001,female,62t64,251113,OH
OH0001,female,65t66,163540,OH
OH0001,female,67t69,224752,OH
OH0001,female,70t74,308241,OH
OH0001,female,75t79,219861,OH
OH0001,female,80t84,153629,OH
OH0001,female,85plus,151948,OH
