area,gender,age,count,region
OK0001,male,U5,120941,OK
OK0001,male,5t9,139214,OK
OK0001,male,10t14,144014,OK
OK0001,male,15t17,88345,OK
OK0001,male,18t19,61238,OK
OK0001,male,20t21,58137,OK
OK0001,male,22t24,91604,OK
OK0001,male,25t29,133708,OK
OK0001,male,30t34,138926,OK
OK0001,male,35t39,135969,OK
OK0001,male,40t44,134438,OK
OK0001,male,45t49,116496,OK
OK0001,male,50t54,116465,OK
OK0001,male,55t59,107052,OK
OK0001,male,60t61,48773,OK
OK0001,male,62t64,72527,OK
OK0001,male,65t66,43978,OK
OK0001,male,67t69,61006,OK
OK0001,male,70t74,84993,OK
OK0001,male,75t79,57686,OK
OK0001,male,80t84,35357,OK
OK0001,male,85plus,23821,OK
OK0001,female,U5,118670,OK
OK0001,female,5t9,134867,OK
OK0001,female,10t14,134658,OK
OK0001,female,15t17,85035,OK
OK0001,female,18t19,58685,OK
OK0001,female,20t21,57253,OK
OK0001,female,22t24,76742,OK
OK0001,female,25t29,126690,OK
OK0001,female,30t34,140803,OK
OK0001,female,35t39,139652,OK
OK0001,female,40t44,129209,OK
OK0001,female,45t49,114703,OK
OK0001,female,50t54,113179,OK
OK0001,female,55t59,111455,OK
OK0001,female,60t61,49417,OK
OK0001,female,62t64,77974,OK
OK0001,female,65t66,47314,OK
OK0001,female,67t69,67018,OK
OK0001,female,70t74,96704,OK
OK0001,female,75t79,70466,OK
OK0001,female,80t84,47474,OK
OK0001,female,85plus,41168,OK
