area,gender,age,count,region
OR0001,male,U5,100314,OR
OR0001,male,5t9,114284,OR
OR0001,male,10t14,130822,OR
OR0001,male,15t17,77056,OR
OR0001,male,18t19,51405,OR
OR0001,male,20t21,49515,OR
OR0001,male,22t24,78131,OR
OR0001,male,25t29,141923,OR
OR0001,male,30t34,160085,OR
OR0001,male,35t39,148972,OR
OR0001,male,40t44,156702,OR
OR0001,male,45t49,132173,OR
OR0001,male,50t54,133021,OR
OR0001,male,55t59,119949,OR
OR0001,male,60t61,53201,OR
OR0001,male,62t64,76683,OR
OR0001,male,65t66,46820,OR
OR0001,male,67t69,74811,OR
OR0001,male,70t74,111335,OR
OR0001,male,75t79,74872,OR
OR0001,male,80t84,41557,OR
OR0001,male,85plus,31576,OR
OR0001,female,U5,97836,OR
OR0001,female,5t9,108358,OR
OR0001,female,10t14,121695,OR
OR0001,female,15t17,79436,OR
OR0001,female,18t19,48120,OR
OR0001,female,20t21,45434,OR
OR0001,female,22t24,80277,OR
OR0001,female,25t29,136557,OR
OR0001,female,30t34,153327,OR
OR0001,female,35t39,144967,OR
OR0001,female,40t44,150107,OR
OR0001,female,45t49,129491,OR
OR0001,female,50t54,128283,OR
OR0001,female,55t59,119271,OR
OR0001,female,60t61,53329,OR
OR0001,female,62t64,84760,OR
OR0001,female,65t66,52007,OR
OR0001,female,67t69,82302,OR
OR0001,female,70t74,125224,OR
OR0001,female,75t79,85903,OR
OR0001,female,80t84,51993,OR
OR0001,female,85plus,49474,OR
