area,gender,age,count,region
PA0001,male,U5,341941,PA
PA0001,male,5t9,362192,PA
PA0001,male,10t14,395236,PA
PA0001,male,15t17,247311,PA
PA0001,male,18t19,180867,PA
PA0001,male,20t21,166864,PA
PA0001,male,22t24,240749,PA
PA0001,male,25t29,399551,PA
PA0001,male,30t34,438912,PA
PA0001,male,35t39,434490,PA
PA0001,male,40t44,401043,PA
PA0001,male,45t49,365805,PA
PA0001,male,50t54,396730,PA
PA0001,male,55t59,409113,PA
PA0001,male,60t61,175625,PA
PA0001,male,62t64,268157,PA
PA0001,male,65t66,163325,PA
PA0001,male,67t69,231640,PA
PA0001,male,70t74,321492,PA
PA0001,male,75t79,215378,PA
PA0001,male,80t84,128246,PA
PA0001,male,85plus,104668,PA
PA0001,female,U5,321398,PA
PA0001,female,5t9,344166,PA
PA0001,female,10t14,379465,PA
PA0001,female,15t17,232920,PA
PA0001,female,18t19,186246,PA
PA0001,female,20t21,158171,PA
PA0001,female,22t24,233151,PA
PA0001,female,25t29,386341,PA
PA0001,female,30t34,426601,PA
PA0001,female,35t39,426363,PA
PA0001,female,40t44,398263,PA
PA0001,female,45t49,361074,PA
PA0001,female,50t54,400483,PA
PA0001,female,55t59,426768,PA
PA0001,female,60t61,180504,PA
PA0001,female,62t64,277229,PA
PA0001,female,65t66,177756,PA
PA0001,female,67t69,250729,PA
PA0001,female,70t74,365642,PA
PA0001,female,75t79,266585,PA
PA0001,female,80t84,178839,PA
PA0001,female,85plus,193654,PA
