area,gender,age,count,region
RI0001,male,U5,27703,RI
RI0001,male,5t9,28914,RI
RI0001,male,10t14,28572,RI
RI0001,male,15t17,18238,RI
RI0001,male,18t19,16915,RI
RI0001,male,20t21,16299,RI
RI0001,male,22t24,19969,RI
RI0001,male,25t29,36059,RI
RI0001,male,30t34,41110,RI
RI0001,male,35t39,37729,RI
RI0001,male,40t44,35002,RI
RI0001,male,45t49,28920,RI
RI0001,male,50t54,32424,RI
RI0001,male,55t59,36151,RI
RI0001,male,60t61,14175,RI
RI0001,male,62t64,22974,RI
RI0001,male,65t66,14565,RI
RI0001,male,67t69,19879,RI
RI0001,male,70t74,23368,RI
RI0001,male,75t79,18692,RI
RI0001,male,80t84,10139,RI
RI0001,male,85plus,7702,RI
RI0001,female,U5,25015,RI
RI0001,female,5t9,29552,RI
RI0001,female,10t14,27300,RI
RI0001,female,15t17,17963,RI
RI0001,female,18t19,18119,RI
RI0001,female,20t21,15437,RI
RI0001,female,22t24,19473,RI
RI0001,female,25t29,37388,RI
RI0001,female,30t34,39229,RI
RI0001,female,35t39,33549,RI
RI0001,female,40t44,36650,RI
RI0001,female,45t49,31378,RI
RI0001,female,50t54,33816,RI
RI0001,female,55t59,37221,RI
RI0001,female,60t61,18096,RI
RI0001,female,62t64,22246,RI
RI0001,female,65t66,15649,RI
RI0001,female,67t69,23338,RI
RI0001,female,70t74,26962,RI
RI0001,female,75t79,21355,RI
RI0001,female,80t84,15041,RI
RI0001,female,85plus,15686,RI
