area,gender,age,count,region
SC0001,male,U5,140245,SC
SC0001,male,5t9,162379,SC
SC0001,male,10t14,167556,SC
SC0001,male,15t17,107378,SC
SC0001,male,18t19,76803,SC
SC0001,male,20t21,73556,SC
SC0001,male,22t24,97310,SC
SC0001,male,25t29,166194,SC
SC0001,male,30t34,166881,SC
SC0001,male,35t39,170089,SC
SC0001,male,40t44,169395,SC
SC0001,male,45t49,147789,SC
SC0001,male,50t54,160857,SC
SC0001,male,55t59,156567,SC
SC0001,male,60t61,68480,SC
SC0001,male,62t64,107623,SC
SC0001,male,65t66,61516,SC
SC0001,male,67t69,87460,SC
SC0001,male,70t74,138341,SC
SC0001,male,75t79,96728,SC
SC0001,male,80t84,49693,SC
SC0001,male,85plus,32174,SC
SC0001,female,U5,145585,SC
SC0001,female,5t9,152446,SC
SC0001,female,10t14,160452,SC
SC0001,female,15t17,106197,SC
SC0001,female,18t19,70810,SC
SC0001,female,20t21,64762,SC
SC0001,female,22t24,102682,SC
SC0001,female,25t29,161905,SC
SC0001,female,30t34,182477,SC
SC0001,female,35t39,173273,SC
SC0001,female,40t44,176146,SC
SC0001,female,45t49,159616,SC
SC0001,female,50t54,169230,SC
SC0001,female,55t59,176551,SC
SC0001,female,60t61,78081,SC
SC0001,female,62t64,116146,SC
SC0001,female,65t66,74429,SC
SC0001,female,67t69,107629,SC
SC0001,female,70t74,152121,SC
SC0001,female,75t79,115637,SC
SC0001,female,80t84,68605,SC
SC0001,female,85plus,53761,SC
