area,gender,age,count,region
SD0001,male,U5,29433,SD
SD0001,male,5t9,30573,SD
SD0001,male,10t14,35155,SD
SD0001,male,15t17,19826,SD
SD0001,male,18t19,12772,SD
SD0001,male,20t21,13161,SD
SD0001,male,22t24,19389,SD
SD0001,male,25t29,28326,SD
SD0001,male,30t34,30148,SD
SD0001,male,35t39,31080,SD
SD0001,male,40t44,29854,SD
SD0001,male,45t49,25904,SD
SD0001,male,50t54,24811,SD
SD0001,male,55t59,26364,SD
SD0001,male,60t61,12235,SD
SD0001,male,62t64,18913,SD
SD0001,male,65t66,10920,SD
SD0001,male,67t69,16905,SD
SD0001,male,70t74,23852,SD
SD0001,male,75t79,13507,SD
SD0001,male,80t84,8487,SD
SD0001,male,85plus,6607,SD
SD0001,female,U5,25453,SD
SD0001,female,5t9,30603,SD
SD0001,female,10t14,28875,SD
SD0001,female,15t17,18889,SD
SD0001,female,18t19,14315,SD
SD0001,female,20t21,9750,SD
SD0001,female,22t24,15607,SD
SD0001,female,25t29,28571,SD
SD0001,female,30t34,27942,SD
SD0001,female,35t39,30794,SD
SD0001,female,40t44,26527,SD
SD0001,female,45t49,25051,SD
SD0001,female,50t54,22888,SD
SD0001,female,55t59,28793,SD
SD0001,female,60t61,10046,SD
SD0001,female,62t64,17684,SD
SD0001,female,65t66,11768,SD
SD0001,female,67t69,16052,SD
SD0001,female,70t74,24061,SD
SD0001,female,75t79,15123,SD
SD0001,female,80t84,9692,SD
SD0001,female,85plus,12612,SD
