area,gender,age,count,region
TN0001,male,U5,211817,TN
TN0001,male,5t9,221396,TN
TN0001,male,10t14,225217,TN
TN0001,male,15t17,146850,TN
TN0001,male,18t19,88126,TN
TN0001,male,20t21,95720,TN
TN0001,male,22t24,134883,TN
TN0001,male,25t29,242785,TN
TN0001,male,30t34,246802,TN
TN0001,male,35t39,229341,TN
TN0001,male,40t44,232531,TN
TN0001,male,45t49,207954,TN
TN0001,male,50t54,219025,TN
TN0001,male,55t59,213684,TN
TN0001,male,60t61,88490,TN
TN0001,male,62t64,133665,TN
TN0001,male,65t66,79851,TN
TN0001,male,67t69,110738,TN
TN0001,male,70t74,157485,TN
TN0001,male,75t79,108306,TN
TN0001,male,80t84,61977,TN
TN0001,male,85plus,40352,TN
TN0001,female,U5,199215,TN
TN0001,female,5t9,206698,TN
TN0001,female,10t14,217001,TN
TN0001,female,15t17,135166,TN
TN0001,female,18t19,82747,TN
TN0001,female,20t21,85338,TN
TN0001,female,22t24,144348,TN
TN0001,female,25t29,238710,TN
TN0001,female,30t34,250181,TN
TN0001,female,35t39,238673,TN
TN0001,female,40t44,234830,TN
TN0001,female,45t49,213793,TN
TN0001,female,50t54,229069,TN
TN0001,female,55t59,220690,TN
TN0001,female,60t61,98165,TN
TN0001,female,62t64,146983,TN
TN0001,female,65t66,89310,TN
TN0001,female,67t69,127905,TN
TN0001,female,70t74,184056,TN
TN0001,female,75t79,133160,TN
TN0001,female,80t84,80779,TN
TN0001,female,85plus,72677,TN
