area,gender,age,count,region
TX0001,male,U5,977677,TX
TX0001,male,5t9,1049536,TX
TX0001,male,10t14,1133522,TX
TX0001,male,15t17,694239,TX
TX0001,male,18t19,433250,TX
TX0001,male,20t21,413060,TX
TX0001,male,22t24,664502,TX
TX0001,male,25t29,1084482,TX
TX0001,male,30t34,1132634,TX
TX0001,male,35t39,1123925,TX
TX0001,male,40t44,1086956,TX
TX0001,male,45t49,947439,TX
TX0001,male,50t54,928698,TX
TX0001,male,55t59,817346,TX
TX0001,male,60t61,346442,TX
TX0001,male,62t64,482304,TX
TX0001,male,65t66,281728,TX
TX0001,male,67t69,378319,TX
TX0001,male,70t74,535027,TX
TX0001,male,75t79,362195,TX
TX0001,male,80t84,201972,TX
TX0001,male,85plus,137891,TX
TX0001,female,U5,935914,TX
TX0001,female,5t9,1016672,TX
TX0001,female,10t14,1072237,TX
TX0001,female,15t17,660460,TX
TX0001,female,18t19,410439,TX
TX0001,female,20t21,394772,TX
TX0001,female,22t24,617574,TX
TX0001,female,25t29,1056712,TX
TX0001,female,30t34,1106624,TX
TX0001,female,35t39,1080117,TX
TX0001,female,40t44,1060285,TX
TX0001,female,45t49,949793,TX
TX0001,female,50t54,931176,TX
TX0001,female,55t59,833678,TX
TX0001,female,60t61,342571,TX
TX0001,female,62t64,523275,TX
TX0001,female,65t66,314917,TX
TX0001,female,67t69,427840,TX
TX0001,female,70t74,610215,TX
TX0001,female,75t79,430568,TX
TX0001,female,80t84,264568,TX
TX0001,female,85plus,249750,TX
