area,gender,age,count,region
UT0001,male,U5,118509,UT
UT0001,male,5t9,130826,UT
UT0001,male,10t14,141887,UT
UT0001,male,15t17,89552,UT
UT0001,male,18t19,53422,UT
UT0001,male,20t21,58348,UT
UT0001,male,22t24,90750,UT
UT0001,male,25t29,135088,UT
UT0001,male,30t34,126898,UT
UT0001,male,35t39,119409,UT
UT0001,male,40t44,119429,UT
UT0001,male,45t49,105266,UT
UT0001,male,50t54,90104,UT
UT0001,male,55t59,76864,UT
UT0001,male,60t61,28765,UT
UT0001,male,62t64,49682,UT
UT0001,male,65t66,26184,UT
UT0001,male,67t69,40766,UT
UT0001,male,70t74,57216,UT
UT0001,male,75t79,34707,UT
UT0001,male,80t84,20843,UT
UT0001,male,85plus,17232,UT
UT0001,female,U5,111372,UT
UT0001,female,5t9,125305,UT
UT0001,female,10t14,131258,UT
UT0001,female,15t17,85196,UT
UT0001,female,18t19,53915,UT
UT0001,female,20t21,49057,UT
UT0001,female,22t24,93318,UT
UT0001,female,25t29,127086,UT
UT0001,female,30t34,117518,UT
UT0001,female,35t39,114366,UT
UT0001,female,40t44,114990,UT
UT0001,female,45t49,103240,UT
UT0001,female,50t54,85266,UT
UT0001,female,55t59,77321,UT
UT0001,female,60t61,30483,UT
UT0001,female,62t64,47495,UT
UT0001,female,65t66,32940,UT
UT0001,female,67t69,39865,UT
UT0001,female,70t74,57641,UT
UT0001,female,75t79,39162,UT
UT0001,female,80t84,24821,UT
UT0001,female,85plus,24372,UT
