area,gender,age,count,region
VA0001,male,U5,243107,VA
VA0001,male,5t9,261450,VA
VA0001,male,10t14,279584,VA
VA0001,male,15t17,176023,VA
VA0001,male,18t19,128302,VA
VA0001,male,20t21,105902,VA
VA0001,male,22t24,180621,VA
VA0001,male,25t29,285732,VA
VA0001,male,30t34,297787,VA
VA0001,male,35t39,308444,VA
VA0001,male,40t44,297375,VA
VA0001,male,45t49,257031,VA
VA0001,male,50t54,271784,VA
VA0001,male,55t59,259845,VA
VA0001,male,60t61,109859,VA
VA0001,male,62t64,167361,VA
VA0001,male,65t66,93341,VA
VA0001,male,67t69,131312,VA
VA0001,male,70t74,184663,VA
VA0001,male,75t79,129423,VA
VA0001,male,80t84,78141,VA
VA0001,male,85plus,55009,VA
VA0001,female,U5,233637,VA
VA0001,female,5t9,251115,VA
VA0001,female,10t14,266682,VA
VA0001,female,15t17,160579,VA
VA0001,female,18t19,115115,VA
VA0001,female,20t21,111776,VA
VA0001,female,22t24,164466,VA
VA0001,female,25t29,279025,VA
VA0001,female,30t34,299628,VA
VA0001,female,35t39,297709,VA
VA0001,female,40t44,304498,VA
VA0001,female,45t49,264292,VA
VA0001,female,50t54,272633,VA
VA0001,female,55t59,281017,VA
VA0001,female,60t61,114644,VA
VA0001,female,62t64,169744,VA
VA0001,female,65t66,105701,VA
VA0001,female,67t69,153700,VA
VA0001,female,70t74,212251,VA
VA0001,female,75t79,163993,VA
VA0001,female,80t84,99849,VA
VA0001,female,85plus,91548,VA
