area,gender,age,count,region
VT0001,male,U5,13929,VT
VT0001,male,5t9,15263,VT
VT0001,male,10t14,18796,VT
VT0001,male,15t17,11757,VT
VT0001,male,18t19,9464,VT
VT0001,male,20t21,10143,VT
VT0001,male,22t24,12645,VT
VT0001,male,25t29,17657,VT
VT0001,male,30t34,20467,VT
VT0001,male,35t39,20344,VT
VT0001,male,40t44,20776,VT
VT0001,male,45t49,18433,VT
VT0001,male,50t54,20641,VT
VT0001,male,55t59,19957,VT
VT0001,male,60t61,10804,VT
VT0001,male,62t64,14628,VT
VT0001,male,65t66,8805,VT
VT0001,male,67t69,12903,VT
VT0001,male,70t74,20231,VT
VT0001,male,75t79,12367,VT
VT0001,male,80t84,7292,VT
VT0001,male,85plus,5636,VT
VT0001,female,U5,13239,VT
VT0001,female,5t9,14689,VT
VT0001,female,10t14,16869,VT
VT0001,female,15t17,10284,VT
VT0001,female,18t19,11220,VT
VT0001,female,20t21,8418,VT
VT0001,female,22t24,9493,VT
VT0001,female,25t29,18863,VT
VT0001,female,30t34,19186,VT
VT0001,female,35t39,21208,VT
VT0001,female,40t44,19552,VT
VT0001,female,45t49,17635,VT
VT0001,female,50t54,20028,VT
VT0001,female,55t59,21999,VT
VT0001,female,60t61,10048,VT
VT0001,female,62t64,15608,VT
VT0001,female,65t66,9391,VT
VT0001,female,67t69,15037,VT
VT0001,female,70t74,19443,VT
VT0001,female,75t79,14065,VT
VT0001,female,80t84,11095,VT
VT0001,female,85plus,7156,VT
