area,gender,age,count,region
WA0001,male,U5,213320,WA
WA0001,male,5t9,235397,WA
WA0001,male,10t14,246228,WA
WA0001,male,15t17,151787,WA
WA0001,male,18t19,93089,WA
WA0001,male,20t21,92620,WA
WA0001,male,22t24,156281,WA
WA0001,male,25t29,284914,WA
WA0001,male,30t34,324348,WA
WA0001,male,35t39,305614,WA
WA0001,male,40t44,282174,WA
WA0001,male,45t49,238474,WA
WA0001,male,50t54,237523,WA
WA0001,male,55t59,217338,WA
WA0001,male,60t61,99437,WA
WA0001,male,62t64,139744,WA
WA0001,male,65t66,86909,WA
WA0001,male,67t69,123863,WA
WA0001,male,70t74,171566,WA
WA0001,male,75t79,117909,WA
WA0001,male,80t84,67308,WA
WA0001,male,85plus,48134,WA
WA0001,female,U5,204002,WA
WA0001,female,5t9,224670,WA
WA0001,female,10t14,234065,WA
WA0001,female,15t17,137723,WA
WA0001,female,18t19,86279,WA
WA0001,female,20t21,84964,WA
WA0001,female,22t24,141258,WA
WA0001,female,25t29,269019,WA
WA0001,female,30t34,300055,WA
WA0001,female,35t39,289157,WA
WA0001,female,40t44,264723,WA
WA0001,female,45t49,228334,WA
WA0001,female,50t54,228818,WA
WA0001,female,55t59,218237,WA
WA0001,female,60t61,97357,WA
WA0001,female,62t64,146801,WA
WA0001,female,65t66,95900,WA
WA0001,female,67t69,132235,WA
WA0001,female,70t74,191596,WA
WA0001,female,75t79,138106,WA
WA0001,female,80t84,81769,WA
WA0001,female,85plus,83835,WA
