area,gender,age,count,region
WI0001,male,U5,157705,WI
WI0001,male,5t9,179416,WI
WI0001,male,10t14,181008,WI
WI0001,male,15t17,122263,WI
WI0001,male,18t19,78120,WI
WI0001,male,20t21,87186,WI
WI0001,male,22t24,113766,WI
WI0001,male,25t29,188222,WI
WI0001,male,30t34,191798,WI
WI0001,male,35t39,193661,WI
WI0001,male,40t44,185872,WI
WI0001,male,45t49,170751,WI
WI0001,male,50t54,180329,WI
WI0001,male,55t59,192344,WI
WI0001,male,60t61,83949,WI
WI0001,male,62t64,122351,WI
WI0001,male,65t66,79363,WI
WI0001,male,67t69,105322,WI
WI0001,male,70t74,150246,WI
WI0001,male,75t79,93216,WI
WI0001,male,80t84,56707,WI
WI0001,male,85plus,45813,WI
WI0001,female,U5,150169,WI
WI0001,female,5t9,167652,WI
WI0001,female,10t14,173828,WI
WI0001,female,15t17,112037,WI
WI0001,female,18t19,77013,WI
WI0001,female,20t21,81549,WI
WI0001,female,22t24,113027,WI
WI0001,female,25t29,176507,WI
WI0001,female,30t34,185197,WI
WI0001,female,35t39,185925,WI
WI0001,female,40t44,185946,WI
WI0001,female,45t49,163007,WI
WI0001,female,50t54,174434,WI
WI0001,female,55t59,189643,WI
WI0001,female,60t61,84979,WI
WI0001,female,62t64,127906,WI
WI0001,female,65t66,81028,WI
WI0001,female,67t69,112491,WI
WI0001,female,70t74,156235,WI
WI0001,female,75t79,107741,WI
WI0001,female,80t84,73709,WI
WI0001,female,85plus,71524,WI
