area,gender,age,count,region
WV0001,male,U5,44593,WV
WV0001,male,5t9,48092,WV
WV0001,male,10t14,53483,WV
WV0001,male,15t17,34484,WV
WV0001,male,18t19,23900,WV
WV0001,male,20t21,24621,WV
WV0001,male,22t24,34479,WV
WV0001,male,25t29,51954,WV
WV0001,male,30t34,54005,WV
WV0001,male,35t39,52476,WV
WV0001,male,40t44,56549,WV
WV0001,male,45t49,54755,WV
WV0001,male,50t54,57166,WV
WV0001,male,55t59,57786,WV
WV0001,male,60t61,24534,WV
WV0001,male,62t64,33447,WV
WV0001,male,65t66,21397,WV
WV0001,male,67t69,33634,WV
WV0001,male,70t74,52483,WV
WV0001,male,75t79,33722,WV
WV0001,male,80t84,21522,WV
WV0001,male,85plus,13549,WV
WV0001,female,U5,42860,WV
WV0001,female,5t9,44721,WV
WV0001,female,10t14,52948,WV
WV0001,female,15t17,30461,WV
WV0001,female,18t19,23300,WV
WV0001,female,20t21,23279,WV
WV0001,female,22t24,29631,WV
WV0001,female,25t29,46857,WV
WV0001,female,30t34,53437,WV
WV0001,female,35t39,49831,WV
WV0001,female,40t44,54760,WV
WV0001,female,45t49,53453,WV
WV0001,female,50t54,56999,WV
WV0001,female,55t59,57798,WV
WV0001,female,60t61,26714,WV
WV0001,female,62t64,36506,WV
WV0001,female,65t66,24107,WV
WV0001,female,67t69,36668,WV
WV0001,female,70t74,57128,WV
WV0001,female,75t79,37502,WV
WV0001,female,80t84,26969,WV
WV0001,female,85plus,21511,WV
