area,gender,age,count,region
WY0001,male,U5,14421,WY
WY0001,male,5t9,18482,WY
WY0001,male,10t14,19238,WY
WY0001,male,15t17,13464,WY
WY0001,male,18t19,7222,WY
WY0001,male,20t21,7669,WY
WY0001,male,22t24,11404,WY
WY0001,male,25t29,18449,WY
WY0001,male,30t34,19931,WY
WY0001,male,35t39,22512,WY
WY0001,male,40t44,20636,WY
WY0001,male,45t49,16814,WY
WY0001,male,50t54,15955,WY
WY0001,male,55t59,15446,WY
WY0001,male,60t61,6575,WY
WY0001,male,62t64,12832,WY
WY0001,male,65t66,8429,WY
WY0001,male,67t69,10232,WY
WY0001,male,70t74,16848,WY
WY0001,male,75t79,8290,WY
WY0001,male,80t84,6577,WY
WY0001,male,85plus,4309,WY
WY0001,female,U5,16230,WY
WY0001,female,5t9,17956,WY
WY0001,female,10t14,18890,WY
WY0001,female,15t17,11284,WY
WY0001,female,18t19,8447,WY
WY0001,female,20t21,6274,WY
WY0001,female,22t24,9223,WY
WY0001,female,25t29,17925,WY
WY0001,female,30t34,20153,WY
WY0001,female,35t39,19124,WY
WY0001,female,40t44,19826,WY
WY0001,female,45t49,13911,WY
WY0001,female,50t54,14372,WY
WY0001,female,55t59,15927,WY
WY0001,female,60t61,7870,WY
WY0001,female,62t64,13498,WY
WY0001,female,65t66,7945,WY
WY0001,female,67t69,11203,WY
WY0001,female,70t74,15605,WY
WY0001,female,75t79,9488,WY
WY0001,female,80t84,5843,WY
WY0001,female,85plus,7328,WY
